filename	label	text	confidence	variant	correct
old_License (1308)_0.jpg	TN07AR2336	TN07AR2336	1.0000	original:trim10:raw+sar	True
old_License (506)_0.jpg	MH01BB1124	MH01BB1124	1.0000	original:original:raw+sar	True
old_License (918)_0.jpg	UP14BP0510	UP14BP0510	1.0000	original:original:raw+sar	True
new_cam02_13-07-14-449900_HR38AD1765__det.jpg	HR38AD1765	HR38AD1765	1.0000	original:center60:raw+sar	True
new_cam02_15-06-42-846761_DL1ZO6848__det.jpg	DL1ZD6848	DL1ZD6848	1.0000	original:center60:raw+sar	True
old_License (1548)_0.jpg	MH05AS3073	MH05AS3073	1.0000	original:trim10:raw+sar	True
old_License (1890)_0.jpg	WB06F6711	WB06F6711	1.0000	original:trim10:raw+sar	True
old_License (1322)_0.jpg	DL2CAN7860	DL2CAN7860	1.0000	original:trim18:raw+sar	True
old_License (1362)_0.jpg	DL3CAY5270	DL3CAY5270	1.0000	original:trim10:raw+sar	True
new_cam02_13-44-45-223640_DL12D8494__det.jpg	DL1ZD8494	DL1ZD8494	0.9999	original:center50:raw+sar	True
old_License (182)_0.jpg	MH43X7188	MH43X7188	1.0000	original:original:raw+sar	True
new_vehicle_20260820-100659__det.jpg	HR48E9780	HR48E9780	1.0000	original:trim10:raw+sar	True
new_vehicle_20260819-105659__det.jpg	HR55BB3722	HR55BB3722	1.0000	original:center60:raw+sar	True
old_License (391)_0.jpg	MH09BB4445	MH09BB4445	1.0000	original:trim18:raw+sar	True
old_License (1777)_0.jpg	GJ18AB2587	GJ18AB2587	1.0000	original:trim25:raw+sar	True
old_License (57)_0.jpg	MH27AR0665	MH27AR0665	1.0000	original:trim18:raw+sar	True
new_vehicle_20260819-111613__det.jpg	DL4CAZ3376	DL4CAZ3376	1.0000	original:trim25:raw+sar	True
new_vehicle_20260820-103526__det.jpg	HR55AU5917	HR55AU5917	1.0000	original:trim18:raw+sar	True
old_License (912)_0.jpg	TN01AJ8334	TN01AJ8334	1.0000	original:trim18:raw+sar	True
new_vehicle_20260820-121129__det.jpg	PB34C9534	PB34C9534	0.9999	original:trim18:raw+sar	True
old_License (45)_0.jpg	MH04FA6281	MH04FA6281	1.0000	original:trim10:raw+sar	True
new_cam02_11-36-20-543875_26BH6624B__det.jpg	26BH6624E	26BH6624E	0.9999	original:center50:raw+sar	True
old_00000395_0.jpg	UP14DH4701	UP14DH4701	1.0000	original:original:raw+sar	True
old_00000395_1.jpg	UP14DH4701	UP14DH4701	0.9916	original:original:raw+sar	True
old_License (1254)_0.jpg	MH43X3230	MH43X3230	1.0000	original:original:raw+sar	True
old_License (926)_0.jpg	MH14DA0570	MH14DA0570	1.0000	original:trim10:raw+sar	True
old_License (1006)_0.jpg	AP29AJ9099	AP29AJ9099	1.0000	original:original:raw+sar	True
new_cam02_12-21-58-162260_UP82AW6586__det.jpg	UP82AW6586	UP82AW6586	1.0000	original:trim18:raw+sar	True
old_License (1198)_0.jpg	WB06A4572	WB06A4572	1.0000	original:center60:raw+sar	True
old_License (1682)_0.jpg	DL3CBM6489	DL3CBM6489	1.0000	original:trim10:raw+sar	True
